Bracket,Round,Game_ID,Winner,Model_Favorite,Is_Upset
9,2,47,Tennessee,Virginia,True
9,2,48,Iowa State,Iowa State,False
9,3,49,Duke,Duke,False
9,3,50,UCLA,UCLA,False
9,3,51,Clemson,Nebraska,True
9,3,52,Illinois,Illinois,False
9,3,53,Arkansas,Arizona,True
9,3,54,Gonzaga,Purdue,True
9,3,55,Michigan,Michigan,False
9,3,56,Iowa State,Iowa State,False
9,4,57,Duke,Duke,False
9,4,58,Illinois,Illinois,False
9,4,59,Arkansas,Arkansas,False
9,4,60,Michigan,Michigan,False
9,5,61,Illinois,Illinois,False
9,5,62,Arkansas,Michigan,True
9,6,63,Illinois,Illinois,False
10,1,1,Duke,Duke,False
10,1,2,Ohio State,Ohio State,False
10,1,3,St. John's,St. John's,False
10,1,4,Kansas,Kansas,False
10,1,5,Louisville,Louisville,False
10,1,6,Michigan State,Michigan State,False
10,1,7,UCLA,UCLA,False
10,1,8,Connecticut,Connecticut,False
10,1,9,Florida,Florida,False
10,1,10,Iowa,Clemson,True
10,1,11,Vanderbilt,Vanderbilt,False
10,1,12,Nebraska,Nebraska,False
10,1,13,North Carolina,North Carolina,False
10,1,14,Illinois,Illinois,False
10,1,15,Saint Mary's,Saint Mary's,False
10,1,16,Houston,Houston,False
10,1,17,Arizona,Arizona,False
10,1,18,Villanova,Utah State,True
10,1,19,High Point,Wisconsin,True
10,1,20,Arkansas,Arkansas,False
10,1,21,BYU,BYU,False
10,1,22,Gonzaga,Gonzaga,False
10,1,23,Miami,Miami,False
10,1,24,Purdue,Purdue,False
10,1,25,Michigan,Michigan,False
10,1,26,Saint Louis,Saint Louis,False
10,1,27,Akron,Texas Tech,True
10,1,28,Hofstra,Alabama,True
10,1,29,Tennessee,Tennessee,False
10,1,30,Virginia,Virginia,False
10,1,31,Kentucky,Kentucky,False
10,1,32,Iowa State,Iowa State,False
10,2,33,Duke,Duke,False
10,2,34,Kansas,Kansas,False
10,2,35,Louisville,Michigan State,True
10,2,36,UCLA,UCLA,False
10,2,37,Florida,Florida,False
10,2,38,Vanderbilt,Vanderbilt,False
10,2,39,Illinois,Illinois,False
10,2,40,Saint Mary's,Saint Mary's,False
10,2,41,Arizona,Arizona,False
10,2,42,Arkansas,Arkansas,False
10,2,43,Gonzaga,Gonzaga,False
10,2,44,Purdue,Purdue,False
10,2,45,Saint Louis,Michigan,True
10,2,46,Hofstra,Hofstra,False
10,2,47,Tennessee,Virginia,True
10,2,48,Iowa State,Iowa State,False
10,3,49,Duke,Duke,False
10,3,50,Louisville,UCLA,True
10,3,51,Florida,Vanderbilt,True
10,3,52,Saint Mary's,Illinois,True
10,3,53,Arizona,Arizona,False
10,3,54,Purdue,Purdue,False
10,3,55,Saint Louis,Saint Louis,False
10,3,56,Iowa State,Iowa State,False
10,4,57,Duke,Duke,False
10,4,58,Florida,Florida,False
10,4,59,Purdue,Purdue,False
10,4,60,Saint Louis,Saint Louis,False
10,5,61,Florida,Duke,True
10,5,62,Purdue,Purdue,False
10,6,63,Purdue,Purdue,False
