SEED,SEED_DIFF,MC_WIN_PROB,MC_WIN_MARGIN,PROJECTED_POSSESSIONS,FT_RATE_DIFF,3PT_RATE_DIFF,WIN
12,7,0.521,42,65.23138539067057,0.0,0.0,0
4,-9,0.305,-390,71.55828135498027,0.0,0.0,1
13,9,0.695,390,71.55828135498027,0.0,0.0,0
6,-5,0.39,-220,66.23846964272522,0.0,0.0,1
11,5,0.61,220,66.23846964272522,0.0,0.0,0
3,-11,0.811,622,68.24807965974395,0.0,0.0,1
14,11,0.189,-622,68.24807965974395,0.0,0.0,0
7,-3,0.377,-246,63.658060357017064,0.0,0.0,1
10,3,0.623,246,63.658060357017064,0.0,0.0,0
2,-13,0.867,734,73.65555555074351,0.0,0.0,1
15,13,0.133,-734,73.65555555074351,0.0,0.0,0
1,-15,0.927,854,63.17807310526815,0.0,0.0,1
16,15,0.073,-854,63.17807310526815,0.0,0.0,0
8,-1,0.838,676,68.18929693717612,0.0,0.0,1
9,1,0.162,-676,68.18929693717612,0.0,0.0,0
5,-7,0.816,632,63.89531324262861,0.0,0.0,0
12,7,0.184,-632,63.89531324262861,0.0,0.0,1
4,-9,0.516,32,65.3210780844467,0.0,0.0,1
13,9,0.484,-32,65.3210780844467,0.0,0.0,0
6,-5,0.756,512,70.32166424128945,0.0,0.0,1
11,5,0.244,-512,70.32166424128945,0.0,0.0,0
3,-11,0.768,536,67.27060921387525,0.0,0.0,1
14,11,0.232,-536,67.27060921387525,0.0,0.0,0
7,-3,0.563,126,63.47092412108251,0.0,0.0,1
10,3,0.437,-126,63.47092412108251,0.0,0.0,0
2,-13,0.764,528,61.54457592423343,0.0,0.0,1
15,13,0.236,-528,61.54457592423343,0.0,0.0,0
1,-15,0.978,956,68.15552443113755,0.0,0.0,1
16,15,0.022,-956,68.15552443113755,0.0,0.0,0
8,-1,0.415,-170,66.22387921221946,0.0,0.0,1
9,1,0.585,170,66.22387921221946,0.0,0.0,0
5,-7,0.277,-446,65.44860700142661,0.0,0.0,0
12,7,0.723,446,65.44860700142661,0.0,0.0,1
4,-9,0.755,510,67.32543942731371,0.0,0.0,1
13,9,0.245,-510,67.32543942731371,0.0,0.0,0
6,-5,0.634,268,64.24268258684482,0.0,0.0,0
11,5,0.366,-268,64.24268258684482,0.0,0.0,1
3,-11,0.862,724,68.56170308857813,0.0,0.0,1
14,11,0.138,-724,68.56170308857813,0.0,0.0,0
7,-3,0.678,356,69.05677020966061,0.0,0.0,0
10,3,0.322,-356,69.05677020966061,0.0,0.0,1
2,-13,0.708,416,66.9794015185829,0.0,0.0,1
15,13,0.292,-416,66.9794015185829,0.0,0.0,0
1,-8,0.462,-76,68.00241030771554,0.0,0.0,1
9,8,0.538,76,68.00241030771554,0.0,0.0,0
5,1,0.708,416,69.82610064938747,0.0,0.0,1
4,-1,0.292,-416,69.82610064938747,0.0,0.0,0
6,3,0.675,350,68.7234966412467,0.0,0.0,1
3,-3,0.325,-350,68.7234966412467,0.0,0.0,0
10,8,0.216,-568,67.77799565245587,0.0,0.0,0
2,-8,0.784,568,67.77799565245587,0.0,0.0,1
1,-8,0.619,238,65.2171728754594,0.0,0.0,1
9,8,0.381,-238,65.2171728754594,0.0,0.0,0
5,1,0.519,38,69.25187621802874,0.0,0.0,0
4,-1,0.481,-38,69.25187621802874,0.0,0.0,1
6,3,0.254,-492,68.99768174691911,0.0,0.0,1
3,-3,0.746,492,68.99768174691911,0.0,0.0,0
7,5,0.224,-552,69.66696475732391,0.0,0.0,0
2,-5,0.776,552,69.66696475732391,0.0,0.0,1
1,-7,0.403,-194,64.16938940181879,0.0,0.0,1
8,7,0.597,194,64.16938940181879,0.0,0.0,0
12,8,0.219,-562,65.53571809302223,0.0,0.0,0
4,-8,0.781,562,65.53571809302223,0.0,0.0,1
6,3,0.479,-42,71.34129256413233,0.0,0.0,0
3,-3,0.521,42,71.34129256413233,0.0,0.0,1
7,5,0.258,-484,62.37148517267397,0.0,0.0,0
2,-5,0.742,484,62.37148517267397,0.0,0.0,1
1,-7,0.772,544,66.306103767136,0.0,0.0,1
8,7,0.228,-544,66.306103767136,0.0,0.0,0
12,8,0.329,-342,63.71414005164233,0.0,0.0,0
4,-8,0.671,342,63.71414005164233,0.0,0.0,1
11,8,0.476,-48,62.71242980884234,0.0,0.0,0
3,-8,0.524,48,62.71242980884234,0.0,0.0,1
10,8,0.408,-184,66.87152849228565,0.0,0.0,1
2,-8,0.592,184,66.87152849228565,0.0,0.0,0
1,-4,0.546,92,68.91783480915687,0.0,0.0,1
5,4,0.454,-92,68.91783480915687,0.0,0.0,0
6,4,0.542,84,66.37243269048588,0.0,0.0,0
2,-4,0.458,-84,66.37243269048588,0.0,0.0,1
1,-3,0.555,110,68.47778732307626,0.0,0.0,1
4,3,0.445,-110,68.47778732307626,0.0,0.0,0
6,4,0.128,-744,73.7540225085312,0.0,0.0,0
2,-4,0.872,744,73.7540225085312,0.0,0.0,1
